op_name,gpt_speedup_vs_cuda,flaggems_speedup_vs_cuda,speedup_vs_flaggems,meets_threshold,has_code
sort,1.0501728659727483,0.0628584,16.70696145579188,True,True
randperm,2.2624663914792262,0.576537,3.924234509631171,True,True
argmax,0.9202054839678944,0.720586666666667,1.2770226352156029,True,True
rand_like,1.5856657196087571,1.30903466666667,1.2113244667893337,True,True
amax,0.9904176099308408,0.829984666666667,1.1932962736630963,False,True
aten::clamp_min_,1.0676841205756986,0.997013666666667,1.0708821315813106,False,True
aten::celu,1.0824575943800372,1.03031533333333,1.050608060813784,False,True
aten::fill_,1.0181838726941386,0.974193333333333,1.0451558616299355,False,True
embedding,1.5149854454025014,1.457967,1.0391081865381735,False,True
silu,1.025061184873499,0.986949,1.0386161644355474,False,True
aten::div_,1.064721166175036,1.02543833333333,1.0383083327049143,False,True
bitwise_not,1.0143202236155122,0.984588,1.0301976294810746,False,True
aten::elu_,1.0408910608534836,1.011564,1.0289917996819615,False,True
aten::fill,1.0141922128249632,0.986006,1.028586248790538,False,True
logical_not,1.0028209197444846,0.976009666666667,1.0274702741104862,False,True
elu,1.0709168984897042,1.04276166666667,1.0270006394778937,False,True
isnan,0.9946065092169111,0.970021666666667,1.0253446323881878,False,True
aten::gelu,0.9975905831327504,0.974782666666667,1.023397950380136,False,True
bitwise_or,1.0102434993961964,0.988733333333333,1.0217552755001653,False,True
aten::celu_,1.048720939741635,1.026429,1.0217179558855363,False,True
minimum,1.0140143084264583,0.994697,1.0194202942468493,False,True
exp,1.0042477462050325,0.985438666666667,1.0190870118806976,False,True
aten::relu_,1.0135164395555174,0.994701,1.0189156737105094,False,True
abs,1.0156313291279528,0.997223,1.0184595914133077,False,True
aten::reciprocal,1.021824661021354,1.00518566666667,1.0165531552094857,False,True
aten::mse_loss,1.681649776463889,1.657178,1.0147671381492447,False,True
diag_embed,1.0618698585195234,1.04830266666667,1.0129420560342497,False,True
aten::elu,1.0558887814367959,1.04276166666667,1.0125887968360867,False,True
aten::threshold,0.9969456103702411,0.985151333333333,1.0119720459566361,False,True
ones_like,1.0061817375257227,0.997718,1.008483095950682,False,True
le,1.01335417165957,1.00514333333333,1.0081688233448365,False,True
maximum,1.011044669709273,1.00460633333333,1.006408815236691,False,True
zeros,1.013156314807764,1.00899066666667,1.0041285299048959,False,True
